Baseline,Debug flag,Time taken,Hilbert bits,D0_BSP,Test flag,D1_CHUNK,Input edge file,Priority group bits,D1_PRIO,Parallel,Chunk size bits,Time per round,Graph size
1,0,199.68971,0,0,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,0,19.968971,50000000
0,0,83.81878,0,1,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,0,8.381878,50000000
0,0,178.79846,0,0,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,16,17.879846,50000000
1,0,27.738497,0,0,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,1,0,2.7738497,50000000
0,0,23.953512,0,1,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,1,0,2.3953512,50000000
0,0,31.194054,0,0,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,1,16,3.1194054,50000000
1,0,175.34808,1,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,17.534808,50000000
0,0,81.297434,1,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,8.1297434,50000000
0,0,134.31825,1,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,13.431825,50000000
1,0,27.490822,1,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,2.7490822,50000000
0,0,24.850843,1,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,2.4850843,50000000
0,0,31.647824,1,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,3.1647824,50000000
1,0,154.85172,2,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,15.485172,50000000
0,0,70.603841,2,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,7.0603841,50000000
0,0,124.5678,2,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,12.45678,50000000
1,0,26.503756,2,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,2.6503756,50000000
0,0,24.821708,2,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,2.4821708,50000000
0,0,36.759851,2,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,3.6759851,50000000
1,0,115.19652,3,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,11.519652,50000000
0,0,37.428179,3,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,3.7428179,50000000
0,0,103.5027,3,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,10.35027,50000000
1,0,23.579902,3,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,2.3579902,50000000
0,0,18.111037,3,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,1.8111037,50000000
0,0,26.436407,3,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,2.6436407,50000000
1,0,98.661036,4,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,9.8661036,50000000
0,0,30.955959,4,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,3.0955959,50000000
0,0,62.06164,4,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,6.206164,50000000
1,0,17.382327,4,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,1.7382327,50000000
0,0,6.2754588,4,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,0.62754588,50000000
0,0,14.482287,4,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,1.4482287,50000000
1,0,93.380517,5,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,9.3380517,50000000
0,0,29.225207,5,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,2.9225207,50000000
0,0,34.747976,5,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,3.4747976,50000000
1,0,46.808363,5,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,4.6808363,50000000
0,0,4.6847898,5,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,0.46847898,50000000
0,0,6.3643265,5,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,0.63643265,50000000
