Baseline,Final result (ignore this line),Time taken,Hilbert bits,D0_BSP,Cilk workers,Test flag,D1_CHUNK,Input edge file,Debug flag,Priority group bits,D1_PRIO,Parallel,Chunk size bits,Time per round,Graph size
1,4.577618326,227.48326,0,0,1,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,22.748326,50000000
0,9.22337226,81.06414,0,1,1,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,8.106414,50000000
0,9.22337226,152.03206,0,0,1,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,15.203206,50000000
1,4.577618326,131.31026,0,0,2,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,13.131026,50000000
0,9.22337226,50.505508,0,1,2,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,5.0505508,50000000
0,9.22337226,88.421689,0,0,2,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,8.8421689,50000000
1,4.577618326,90.625823,0,0,3,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,9.0625823,50000000
0,9.22337226,36.63519,0,1,3,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,3.663519,50000000
0,9.22337226,63.44728,0,0,3,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,6.344728,50000000
1,4.577618326,67.817246,0,0,4,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,6.7817246,50000000
0,9.22337226,29.882266,0,1,4,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,2.9882266,50000000
0,9.22337226,49.993187,0,0,4,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,4.9993187,50000000
1,4.577618326,56.419919,0,0,5,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,5.6419919,50000000
0,9.22337226,28.073383,0,1,5,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,2.8073383,50000000
0,9.22337226,41.965908,0,0,5,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,4.1965908,50000000
1,4.577618326,47.384264,0,0,6,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,4.7384264,50000000
0,9.22337226,26.61579,0,1,6,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,2.661579,50000000
0,9.22337226,37.732897,0,0,6,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,3.7732897,50000000
1,4.577618326,41.081616,0,0,7,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,4.1081616,50000000
0,9.22337226,25.017089,0,1,7,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,2.5017089,50000000
0,9.22337226,37.21324,0,0,7,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,3.721324,50000000
1,4.577618326,37.259732,0,0,8,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,3.7259732,50000000
0,9.22337226,25.350525,0,1,8,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,2.5350525,50000000
0,9.22337226,36.14218,0,0,8,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,3.614218,50000000
1,4.577618326,34.029025,0,0,9,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,3.4029025,50000000
0,9.22337226,25.119438,0,1,9,0,0,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,0,2.5119438,50000000
